id_from,id_to,x_from,y_from,x_to,y_to,order,km
3204,3202,78.7701,14.46712,77.54757,14.4892,2,20
3204,3202,78.7701,14.46712,77.54757,14.4892,1,8
3215,3204,79.7123,14.78452,78.7701,14.46712,1,66
3223,3209,81.39973,16.88367,80.76366,17.69282,1,94
3206,3212,80.05564,16.19362,78.14298,16.49138,2,60
3214,3212,79.2947,17.05844,78.14298,16.49138,1,90
3210,3214,80.79984,16.55104,79.2947,17.05844,2,8
3206,3214,80.05564,16.19362,79.2947,17.05844,1,36
3210,3214,80.79984,16.55104,79.2947,17.05844,1,69
1505,3219,84.51836,19.51371,83.85448,18.67758,1,1
3209,3222,80.76366,17.69282,79.81044,17.94902,1,8
3314,3303,94.34444,26.78559,95.07376,27.47259,1,42
3314,3303,94.34444,26.78559,95.07376,27.47259,2,11
2209,3305,89.3303,26.29888,90.23246,26.30925,1,15
2208,3305,89.07968,26.66806,90.23246,26.30925,1,5
3305,3306,90.23246,26.30925,91.21194,26.37882,1,7
3313,3311,92.82572,26.22522,92.90833,25.57889,1,26
3303,3312,95.07376,27.47259,94.91613,27.5256,1,32
3304,3312,92.59951,26.69781,94.91613,27.5256,2,14
3306,3313,91.21194,26.37882,92.82572,26.22522,1,12
3308,3314,93.54587,26.20019,94.34444,26.78559,1,11
3311,3315,92.90833,25.57889,92.74366,24.70811,1,30
3403,3419,86.89971,25.00909,86.25335,25.15271,1,45
3405,3420,86.04318,26.11189,85.3861,26.21504,1,30
3408,3423,84.88275,24.82558,84.17596,24.08069,1,1
2117,3424,83.85777,26.75271,84.59702,26.8886,2,3
3424,3424,84.59702,26.8886,84.59702,26.8886,1,1
3434,3424,84.57172,26.21703,84.59702,26.8886,1,99
3419,3425,86.25335,25.15271,85.28281,25.37753,1,1
1513,3428,84.6309,22.09994,84.95271,23.14204,1,20
1507,3436,85.67786,21.56107,85.81518,22.58044,1,5
3510,3501,72.94537,22.67293,72.27636,22.75157,1,1
3511,3503,72.35517,23.62986,72.01283,24.22021,1,12
3518,3504,73.56211,22.21733,73.22238,21.75388,1,8
3519,3515,73.11869,20.56278,73.3594,21.19948,1,1
3504,3518,73.22238,21.75388,73.56211,22.21733,1,7
3607,3601,76.85161,29.72223,77.13764,30.35027,1,6
2139,3604,77.76358,27.5377,77.23739,28.09199,1,48
2701,3610,77.1871,28.57598,76.76525,28.74308,1,5
3601,3710,77.13764,30.35027,77.4703,30.63696,1,5
3710,3711,77.4703,30.63696,77.00816,31.0031,2,2
1114,3905,74.0676,16.46655,75.88293,16.51645,1,95
3911,3906,76.16,12.93758,75.73339,13.38902,1,1
3202,3907,77.54757,14.4892,76.42682,14.14221,1,45
3918,3907,76.95487,13.36606,76.42682,14.14221,1,20
3916,3909,76.65481,15.81551,75.4923,15.11315,1,60
3212,3910,78.14298,16.49138,76.91079,17.0049,1,32
3914,3911,76.85599,12.54001,76.16,12.93758,1,1
3915,3911,76.78744,12.02586,76.16,12.93758,1,5
3915,3912,76.78744,12.02586,75.82824,12.27301,2,38
1914,3914,78.17573,11.91458,76.85599,12.54001,1,59
1914,3915,78.17573,11.91458,76.78744,12.02586,2,53
3909,3917,75.4923,15.11315,75.38787,13.99403,1,35
3912,4002,75.82824,12.27301,75.47615,12.09535,1,16
3915,4002,76.78744,12.02586,75.47615,12.09535,3,4
4006,4003,76.93148,9.794545,76.5763,10.06342,1,6
4001,4006,76.48494,9.428579,76.93148,9.794545,1,29
4007,4007,75.93038,11.53713,75.93038,11.53713,1,6
4012,4009,76.31745,10.48208,76.5746,10.80239,1,2
4008,4009,76.16312,11.14606,76.5746,10.80239,1,22
4003,4012,76.5763,10.06342,76.31745,10.48208,1,5
