statetownid,x,y,pc11_state_id,pc11_town_id,polemp_all,emp_all,polemp_051,polemp_052,polemp_061,polemp_062,polemp_071,polemp_072,polemp_081,polemp_089,polemp_091,polemp_099,polemp_101,polemp_104,polemp_105,polemp_106,polemp_110,polemp_120,polemp_131,polemp_139,polemp_141,polemp_151,polemp_170,polemp_191,polemp_192,polemp_201,polemp_202,polemp_203,polemp_210,polemp_221,polemp_222,polemp_231,polemp_239,polemp_241,polemp_242,polemp_243,polemp_251,polemp_252,polemp_259,polemp_261,polemp_262,polemp_263,polemp_264,polemp_266,polemp_271,polemp_272,polemp_273,polemp_274,polemp_275,polemp_279,polemp_281,polemp_282,polemp_291,polemp_292,polemp_293,polemp_302,polemp_303,polemp_304,polemp_309,polemp_325,polemp_351,polemp_352
1800007,74.06292956,34.0505391,1,800007,152,1307,7,0,2,2,0,0,0,0,0,0,20,0,0,3,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5
1800008,74.52927949,34.06094063,1,800008,100,820,0,0,1,0,0,0,0,0,0,0,13,0,3,1,0,0,5,25,26,0,0,0,1,0,0,0,0,3,0,0,0,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1800009,74.37445907,34.02970352,1,800009,8,1737,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1800010,74.66369174,34.42034561,1,800010,279,3257,0,0,0,0,0,0,0,0,0,0,39,0,0,9,0,0,150,19,1,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,22
1800011,74.62846373,34.28602899,1,800011,161,842,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0,2,40,68,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
1800012,74.64159844,34.22056026,1,800012,237,1233,0,0,0,0,0,0,0,0,0,0,16,0,0,9,0,0,21,149,4,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2
1800013,74.81561709,34.10213461,1,800013,15532,149938,1,26,2,1,0,1,71,0,22,2,391,8,667,256,110,11,3415,1536,4134,308,1190,11,70,38,3,0,116,19,37,32,5,1221,13,9,7,27,9,65,88,1,3,0,270,1,0,0,0,140,42,8,9,8,57,9,0,0,5,20,831,206
1800014,74.92028648,34.01791483,1,800014,66,1582,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1800015,74.7801931,34.21225905,1,800015,403,3469,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,29,149,0,100,0,0,0,0,0,7,0,1,4,0,0,32,0,0,7,0,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7
1800016,74.58745119,34.04731757,1,800016,250,2491,0,0,0,0,0,0,0,0,0,0,15,0,5,2,4,0,6,9,109,0,1,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,2,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
